Organization,Address,Latitude,Longitude,Tag,Phone Number,Link
AIRP,"3775 Crosshaven Drive, Vestavia Hills, AL 35223",33.4685307,-86.7307168,"l, h",N/A,https://www.alirp.org/index.html
Birmingham Urban League,"2101 6th Ave N, Birmingham, AL 35203",33.519866,-86.8069306,"em, h",(205) 326-0162,https://birminghamul.org/
Jefferson County Literacy County,"218 S Wisconsin Drive, Jefferson, WI 53549",43.0039292,-88.8110852,ed,(920) 675-0500,https://jcliteracyco.wixsite.com/jclc
La Casita,"92 Oxmoor Road Homewood, AL 35209",33.455709,-86.8382124,ed,(205) 987-4771,https://hcsslacasita.org/
The Ministry Center at Green Springs,"2230 Green Springs Hwy. Birmingham, AL 35205",33.4813301,-86.8244937,ed,(205) 326-1211,https://mcgsonline.org/english-second-language/
Alaska Literacy Program,"1345 Rudakof Circle, Suite 104 Anchorage, AK, 99508, US",61.2088161,-149.8050301,ed,907-337-1981,https://www.alaskaliteracyprogram.org/
AmeriCorps,"9397 La Perouse Ave, Juneau, AK 99801",58.3618851,-134.5910609,"ed, em",1-800-942-2677,https://my.americorps.gov/mp/listing/viewListing.do;jsessionid=GxdjThnJQJmJkBlX3pQD8VG6vCDyt1bPnj2fP33ZbSTR5WVw9Qyx!-2041373993?id=55862&fromSearch=true
IRC Phoenix,"4425 West Olive Avenue #400 Glendale, AZ 85302",33.5663699,-112.1542773,"ed, em, l, h",(602) 433-2440,https://www.rescue.org/united-states/phoenix-az
IRC Tucson,"1011 North Craycroft Road Suite 404 Tucson, AZ85711",32.2349309,-110.8758746,"ed, em, l, h",(520) 319-2128,https://www.rescue.org/united-states/tucson-az
Catholic Charities Community Service Arizona,"4747 N. 7th Avenue, Phoenix AZ 85013",33.5072957,-112.0821902,"ed, em",1-855-316-2229,"https://www.catholiccharitiesaz.org/all-locations/refugee-resettlement#:~:text=Catholic%20Charities%20is%20one%20of,hygiene%20products%20and%20basic%20bedding."
ICS,"122 North Craycroft Road Tucson, AZ 85711",32.2236963,-110.8739653,"ed, l",(520) 297-6049,https://www.icstucson.org/who-we-are/mission-vision/
Arizona Refugee Resettlement Program,4635 S Central Ave Phoenix AZ 85040-2148,33.4034698,-112.0727135,"ed, h",(833) 762-8196,https://des.az.gov/refugee-resettlement
Arkansas Marshallese,"614 East Emma Avenue, Springdale, AR, 72764",36.185448,-94.1228329,ed,4793656625,https://www.arkansasmarshallese.org/tolemour
Arkansas United,"104 W COLT SQUARE DR., SUITE 3, FAYETTEVILLE, AR 72703",36.0937215,-94.1576779,"ed, l",(479) 347-2824,https://arkansasunited.org/en/services/#es-servicelink
Arkansas Justice,"4024 Wagon Wheel Rd, Springdale, AR 72762",36.2264479,-94.1737857,"ed, l",(479) 276-3180,https://arjustice.org/about
Canopy Northwest Arkansas,"1142 N. Futrall Dr., Fayetteville, AR 72703",36.0792626,-94.1979552,"em, ed, l, h",479-717-7358,https://www.canopynwa.org/
The Little Rock Compassion Center,"3618 W. Roosevelt Road, Little Rock, Arkansas 72204",34.725912,-92.3146548,"ed, em, h",501-296-9114,https://lrcompassioncenter.org/our-services/
World Relief Sacramento,"2233 Watt Ave Suite 110 Sacramento, CA 95825",38.6044309,-121.3837188,"ed, em, l, h",916-978-2650,https://worldrelief.org/sacramento/about-us/
NARIKA,"1708, FREMONT, CA 94538",37.5042267,-121.9643745,ed,(510) 444-6068,https://www.narika.org/
California Language Academy,"8632 South Sepulveda Boulevard, #203 Los Angeles, CA 90045",33.9588784,-118.3957869,ed,(310) 910-0133,https://cla.edu/
Refugee Transitions,"1811 11th Ave. Oakland, CA 94606",37.7943447,-122.2451375,ed,415.989.2151,https://www.reftrans.org/
IRC San Diego,"5348 University Ave Suite 205 San Diego, CA92105",32.7494316,-117.0810241,"ed, em, l, h",(619) 641-7510,https://www.rescue.org/united-states/san-diego-ca
IRC Sacramento,"2020 Hurley Way Suite 420 Sacramento, CA 95825",38.5885872,-121.4178497,"ed, em, l, h",(916) 482-0120,https://www.rescue.org/united-states/sacramento-ca
IRC Los Angeles,"625 N. Maryland Ave Glendale, CA 91206",34.1556269,-118.2541927,"ed, em, l, h",(818) 550-6220,https://www.rescue.org/united-states/los-angeles-ca
IRC Oakland,"440 Grand Avenue Suite 500 Oakland, CA 94610",37.8089292,-122.2530187,"ed, em, l, h",(510) 452-8222,https://www.rescue.org/united-states/oakland-ca
IRC San Jose,"1210 South Bascom Ave. Suite 227 San Jose, CA 95128",37.3041579,-121.9314364,"ed, em, l, h",(408) 277-0255,https://www.rescue.org/united-states/san-jose-ca
IRC Turlock,"3446 N Golden State Blvd Suite A Turlock, CA 95382",37.5243384,-120.8797708,"ed, em, l, h",(209) 667-2378,https://www.rescue.org/united-states/turlock-ca
World Relief Modesto,"909 14th Street Modesto, CA 95354",37.6425458,-120.9959891,"ed, em, l",(209) 491-2712,https://worldrelief.org/modesto/
World Relief Southern California,"13121 Brookhurst Street, #H Garden Grove, CA 92843",33.7718889,-117.9560632,"ed, em, l",(714) 210-4730,https://worldrelief.org/socal/
Catholic Charities Contra Costa County Family Literacy Program,"4700 Calaveras Ave., Fremont, CA 94538",37.538423,-121.9910691,ed,(510) 793-6465,https://catholiccharitiesca.org/where-we-operate/
IRC Colorado,"1873 S. Bellaire St. 5th Floor Denver, CO 80222",39.6829383,-104.9377215,"ed, em, l, h",720-328-6655,https://www.rescue.org/united-states/denver-co
LFSRM Colorado Springs,"First Lutheran Church 1515 N. Cascade Colorado Springs, CO 80907",38.8553893,-104.8235282,"ed, em, h",719.227.8899,https://www.lfsrm.org/locations/
LFSRM Denver,"1035 Osage Street, Suite 700, Denver, CO 80204",39.7327268,-105.0056091,"ed, em, h",303.922.3433,https://www.lfsrm.org/locations/
LFSRM Fort Collins,"2032 Lowe Street, Suite 200, Fort Collins, CO 80525",40.532504,-105.039757,"ed, em, h",970.266.1788,https://www.lfsrm.org/locations/
LSFRM Greeley,"815 9th Street, Greeley, CO 80631",40.424219,-104.691672,"ed, em, h",970.356.6751,https://www.lfsrm.org/locations/
Focus Points Family Center,"2501 East 48th Ave Denver, Colorado 80216",39.7840285,-104.9569255,ed,303-292-0770,https://www.focuspoints.org/family-services/adult-education/
Jefferson Public Schools,"5280 W. Ohio Ave. Lakewood, CO  80226",39.7018583,-105.0551937,ed,303-982-6500,https://www.jeffcopublicschools.org/programs/adult_education/adult_esl
Emily Griffith Technical College,"1860 Lincoln St 3rd floor, Denver, CO 80203",39.7455916,-104.9857118,"ed, em",720-423-4700,https://www.emilygriffith.edu/language-learning-center/
Spring Institute,"1373 Grant St. Denver, CO 80203",39.7380851,-104.984036,ed,(303) 863-0188,https://springinstitute.org/
Immigration and Refugee Center,"3001 8TH AVE SUITE 170, EVANS, CO 80620",40.3886884,-104.6917701,"ed, em",(970) 352-7323,https://www.ircnoco.org/education
District 11 ESL,"2115 Afton Way Colorado Springs, CO 80909",38.861339,-104.782086,ed,719-328-3001,https://www.d11.org/domain/1201
IRIS,"235 Nicoll Street New Haven, CT 06511",41.3209731,-72.9077592,"ed, em, l, h",(203) 562-2095,https://irisct.org/
Catholic Charities Fairfield,"238 Jewett Ave Bridgeport, CT 06606",41.2118414,-73.2171387,"ed, l, h",(203) 416-1503,https://www.ccfairfield.org/
Jewish Family Services,"333 Bloomfield Avenue, Suite A West Hartford, CT 06117",41.7994867,-72.7249266,"ed, em",(860) 236-1927,https://jfshartford.org/
Catholic Charities Hartfield,"839-841 Asylum Avenue Hartford, CT 06105-2801",41.7695198,-72.6927943,"ed, em, h",888.405.1183,https://www.ccaoh.org/how-we-help/
B1C,"417 Shippan Ave, Stamford, CT 06902",41.0452136,-73.5243959,"ed, l", (203) 674-8585,https://building1community.org/
Jewish Family Services of Delaware,"99 Passmore Road Wilmington, DE 19803",39.8108788,-75.5525474,"ed, em",302-478-9411,https://www.jfsdelaware.org/refugee-emigre-services/
Deleware DoE,"35 Commerce Way, Suite 1 Dover, DE 19904",39.1548391,-75.545159,ed,302-857-3340,https://www.doe.k12.de.us/Page/2928
IRC Miami,"453504 Miami, FL33245",25.7506483,-80.2240177,"ed, em, h, l",(305) 640-9881,https://www.rescue.org/united-states/miami-fl
IRC Tallahassee,"1310 Cross Creek Circle Suite A Tallahassee, FL 32301",30.4297772,-84.2374285,"ed, em, h, l",(850) 391-9610,https://www.rescue.org/united-states/tallahassee-fl
